time	count
0.000	0.00
1131662.511	0.50
1131743.730	0.00
1131750.448	0.50
1131777.645	1.00
1131796.014	0.50
1131842.077	1.00
1131847.857	0.50
1131875.771	1.00
1131881.475	0.50
1131943.421	1.00
1131945.331	0.50
1132089.267	0.00
1132112.899	0.50
1132119.532	0.00
1887393.247	0.50
1887455.149	0.00
1887469.337	0.50
1887480.054	1.00
1887485.915	0.50
1887516.954	0.00
1887535.605	0.50
1887638.705	0.00
1887666.368	0.50
1887676.134	0.00
1887805.820	0.50
1887841.593	0.00
1887867.399	0.50
1887872.806	0.00
1887873.868	0.50
1887911.228	0.00
1887939.316	0.50
1887942.877	1.00
1887943.976	0.50
1887986.727	0.00
1888015.869	0.50
1888019.680	0.00
2004015.227	0.50
2004050.023	1.00
2004051.755	0.50
2004073.805	0.00
2004078.517	0.50
2004100.736	1.00
2004106.103	0.50
2004121.149	0.00
2004142.069	0.50
2004145.762	0.00
2064129.215	0.50
2064271.214	1.00
2064275.023	0.50
2064295.923	1.00
2064297.548	0.50
2064314.243	1.00
2064318.757	0.50
2064336.527	1.00
2064342.601	0.50
2064358.130	0.00
2064363.504	0.50
2064372.340	1.00
2064378.142	0.50
2064439.767	1.00
2064440.663	0.50
2064491.009	1.00
2064519.103	0.50
2064684.275	1.00
2064696.490	0.50
2064796.569	1.00
2064815.504	0.50
2064851.735	1.00
2064912.591	0.50
2064920.144	0.00
2064938.430	0.50
2064939.541	1.00
2064943.295	0.50
2064949.158	1.00
2064959.621	0.50
2064960.112	0.00
2064966.408	0.50
2064974.539	1.00
2064979.176	0.50
2064985.140	1.00
2064987.569	0.50
2065001.319	1.00
2065005.803	0.50
2065008.315	0.00
2065011.887	0.50
2065021.505	1.00
2065026.318	0.50
2065074.606	0.00
2065080.934	0.50
2065087.801	1.00
2065093.099	0.50
2065175.981	1.00
2065183.321	0.50
2065193.676	1.00
2065222.977	0.50
2065259.007	0.00
2065260.230	0.50
2065279.744	0.00
2065285.153	0.50
2065290.919	0.00
2065298.864	0.50
2065304.046	0.00
2065311.838	0.50
2065314.647	1.00
2065323.070	0.50
2065330.219	1.00
2065357.418	0.50
2065374.476	0.00
2065376.792	0.50
2065395.290	1.00
2065404.409	0.50
2065406.576	0.00
2065413.072	0.50
2065431.175	1.00
2065437.527	0.50
2065462.884	1.00
2065463.379	0.50
2065478.480	1.00
2065518.172	0.50
2065531.848	1.00
2065541.822	0.50
2065555.739	1.00
2065572.335	0.50
2065594.419	1.00
2065660.636	0.50
2065705.960	1.00
2065742.165	0.50
2065761.473	1.00
2065773.170	0.50
2065786.367	0.00
2065798.928	0.50
2065820.023	1.00
2065822.530	0.50
2065831.153	1.00
2065836.685	0.50
2065841.234	1.00
2065844.525	0.50
2065873.896	1.00
2065876.598	0.50
2065899.023	1.00
2065909.599	0.50
2065965.066	0.00
2065981.765	0.50
2065991.392	1.00
2066001.818	0.50
2066047.656	1.00
2066048.507	0.50
2066070.084	1.00
2066079.325	0.50
2066081.533	0.00
2066094.843	0.50
2066102.388	1.00
2066108.878	0.50
2066135.812	1.00
2066147.756	0.50
2066156.610	1.00
2066197.991	0.50
2066210.980	0.00
2066220.415	0.50
2066235.493	1.00
2066242.836	0.50
2066253.371	1.00
2066284.954	0.50
2066303.311	0.00
2066319.571	0.50
2066330.336	1.00
2066339.047	0.50
2066349.384	1.00
2066355.745	0.50
2066365.568	1.00
2066367.395	0.50
2066384.163	1.00
2066388.487	0.50
2066394.872	1.00
2066398.119	0.50
2066420.978	1.00
2066445.626	0.50
2066461.318	1.00
2066463.174	0.50
2066479.174	1.00
2066483.256	0.50
2066515.270	0.00
2066529.232	0.50
2066533.681	0.00
2066627.150	0.50
2066634.424	0.00
2066642.926	0.50
2066670.867	0.00
2066698.558	0.50
2066703.281	0.00
2067301.801	0.50
2067308.792	1.00
2067319.124	0.50
2067341.192	1.00
2067367.273	0.50
2067368.328	0.00
2067388.990	0.50
2067395.492	1.00
2067401.134	0.50
2067420.603	0.00
2067421.580	0.50
2067439.875	1.00
2067454.232	0.50
2067455.291	0.00
2067472.127	0.50
2067474.609	1.00
2067512.496	0.50
2067527.751	1.00
2067549.614	0.50
2067566.785	1.00
2067579.536	0.50
2067590.043	0.00
2067602.973	0.50
2067607.985	1.00
2067641.326	0.50
2067641.791	0.00
2067656.500	0.50
2067663.628	1.00
2067679.151	0.50
2067681.707	0.00
2067705.309	0.50
2067706.016	1.00
2067735.601	0.50
2067752.698	0.00
2067762.961	0.50
2067774.098	1.00
2067780.707	0.50
2067810.448	0.00
2067816.908	0.50
2067830.114	1.00
2067845.249	0.50
2067868.331	1.00
2067873.646	0.50
2067911.279	1.00
2067928.423	0.50
2067944.485	0.00
2067945.510	0.50
2067997.003	0.00
2068005.933	0.50
2068011.781	1.00
2068016.154	0.50
2068034.238	0.00
2068034.716	0.50
2068050.192	1.00
2068053.972	0.50
2068081.412	0.00
2068099.841	0.50
2068103.496	0.00
2068718.776	0.50
2068819.324	0.00
2068819.800	0.50
2068838.765	1.00
2068843.921	0.50
2068845.196	0.00
2068851.002	0.50
2068869.449	1.00
2068873.194	0.50
2068888.720	1.00
2068893.183	0.50
2068895.729	0.00
2068899.579	0.50
2068920.805	1.00
2068925.382	0.50
2068967.735	0.00
2068981.108	0.50
2068987.640	1.00
2068992.969	0.50
2069083.012	1.00
2069106.618	0.50
2069147.523	1.00
2069165.785	0.50
2069234.110	1.00
2069255.619	0.50
2069272.218	1.00
2069279.820	0.50
2069292.337	0.00
2069296.143	0.50
2069304.388	0.00
2069306.933	0.50
2069322.918	1.00
2069326.187	0.50
2069340.380	1.00
2069345.572	0.50
2069352.748	1.00
2069356.475	0.50
2069374.511	1.00
2069390.333	0.50
2069390.747	0.00
2069407.691	0.50
2069418.366	1.00
2069425.098	0.50
2069432.480	1.00
2069437.167	0.50
2069444.029	1.00
2069449.166	0.50
2069456.488	1.00
2069488.484	0.50
2069500.754	0.00
2069509.402	0.50
2069521.646	1.00
2069528.013	0.50
2069535.567	0.00
2069535.964	0.50
2069555.271	1.00
2069565.176	0.50
2069568.751	0.00
2069581.553	0.50
2069631.187	1.00
2069638.355	0.50
2069659.704	1.00
2069663.194	0.50
2069689.634	1.00
2069729.027	0.50
2069736.823	0.00
2069756.624	0.50
2069762.525	1.00
2069769.736	0.50
2069778.737	1.00
2069783.086	0.50
2069790.728	1.00
2069792.334	0.50
2069810.149	1.00
2069831.359	0.50
2069849.405	1.00
2069870.888	0.50
2069877.565	0.00
2069886.021	0.50
2069894.631	0.00
2069907.512	0.50
2069911.435	1.00
2069922.920	0.50
2069941.733	0.00
2069947.237	0.50
2069960.854	1.00
2069966.367	0.50
2069974.700	0.00
2069978.389	0.50
2069998.435	1.00
2070005.542	0.50
2070010.923	0.00
2070014.959	0.50
2070032.572	1.00
2070036.122	0.50
2070040.870	1.00
2070044.094	0.50
2070048.472	1.00
2070051.774	0.50
2070056.245	1.00
2070060.009	0.50
2070067.424	1.00
2070073.169	0.50
2070075.913	0.00
2070081.771	0.50
2070087.538	0.00
2070094.373	0.50
2070099.524	0.00
2070101.685	0.50
2070107.471	1.00
2070108.096	0.50
2070113.258	0.00
2070116.927	0.50
2070120.860	1.00
2070123.965	0.50
2070125.106	0.00
2070131.877	0.50
2070133.033	1.00
2070136.189	0.50
2070139.695	0.00
2070141.398	0.50
2070145.072	0.00
2070148.618	0.50
2070150.171	1.00
2070154.829	0.50
2070155.876	0.00
2070159.785	0.50
2070164.050	0.00
2070164.942	0.50
2070170.490	0.00
2070311.079	0.50
2070326.801	0.00
2070329.126	0.50
2070369.981	0.00
2070370.602	0.50
2070377.373	0.00
2070385.334	0.50
2070388.785	1.00
2070392.574	0.50
2070426.871	0.00
2070469.051	0.50
2070475.390	0.00
2070698.337	0.50
2070781.152	1.00
2070791.932	0.50
2070806.013	0.00
2070812.162	0.50
2070823.632	1.00
2070835.663	0.50
2070843.027	0.00
2070851.863	0.50
2070860.505	1.00
2070865.751	0.50
2070872.848	1.00
2070873.378	0.50
2070889.815	1.00
2070895.005	0.50
2070895.393	0.00
2070901.054	0.50
2070912.589	1.00
2070917.128	0.50
2070962.074	0.00
2070975.805	0.50
2070982.478	1.00
2070987.821	0.50
2071077.383	1.00
2071100.087	0.50
2071113.591	1.00
2071152.023	0.50
2071213.450	1.00
2071219.974	0.50
2071426.355	1.00
2071432.285	0.50
2071450.221	1.00
2071458.232	0.50
2071475.719	0.00
2071485.324	0.50
2071501.085	1.00
2071507.744	0.50
2071649.220	0.00
2071675.248	0.50
2071681.510	0.00
2071933.817	0.50
2071943.818	1.00
2071946.793	0.50
2071971.528	1.00
2071975.936	0.50
2072004.306	0.00
2072030.588	0.50
2072036.622	0.00
2072345.424	0.50
2072358.717	0.00
2072364.643	0.50
2072392.367	0.00
2072393.575	0.50
2072400.046	0.00
2072409.183	0.50
2072416.299	1.00
2072424.207	0.50
2072446.614	0.00
2072472.619	0.50
2072478.026	0.00
2125594.978	0.50
2125632.752	0.00
2125703.515	0.50
2125736.612	0.00
2125756.869	0.50
2125782.049	0.00
2125799.828	0.50
2125832.850	0.00
2125852.771	0.50
2125854.803	1.00
2125859.590	0.50
2125862.182	0.00
2125867.246	0.50
2125872.861	1.00
2125873.486	0.50
2125881.155	0.00
2142117.664	0.50
2142134.517	1.00
2142169.070	0.50
2142358.907	0.00
2142379.766	0.50
2142408.752	0.00
2142421.085	0.50
2142427.615	1.00
2142458.056	0.50
2142459.315	0.00
2142479.998	0.50
2142484.084	1.00
2142508.841	0.50
2142515.953	0.00
2142532.780	0.50
2142536.863	1.00
2142562.055	0.50
2142567.397	0.00
2142583.695	0.50
2142588.483	1.00
2142608.823	0.50
2142626.280	1.00
2142703.362	0.50
2142703.838	0.00
2142733.551	0.50
2142734.195	1.00
2142782.824	0.50
2142785.276	0.00
2142814.771	0.50
2142815.494	1.00
2142861.600	0.50
2142864.105	0.00
2142883.833	0.50
2142886.938	1.00
2142927.830	0.50
2142935.202	0.00
2142956.698	0.50
2142960.779	1.00
2142996.567	0.50
2143001.829	0.00
2143017.553	0.50
2143022.880	1.00
2143036.927	0.50
2143044.755	0.00
2143061.789	0.50
2143069.506	1.00
2143079.681	0.50
2143090.109	0.00
2143099.040	0.50
2143115.876	1.00
2143122.640	0.50
2143135.627	0.00
2143142.620	0.50
2143148.702	0.00
2143155.140	0.50
2143156.407	1.00
2143161.598	0.50
2143162.254	0.00
2143171.528	0.50
2143172.191	1.00
2143177.719	0.50
2143178.522	0.00
2143185.422	0.50
2143187.525	1.00
2143191.048	0.50
2143193.553	0.00
2143198.224	0.50
2143201.377	1.00
2143203.776	0.50
2143207.104	0.00
2143211.338	0.50
2143214.741	1.00
2143217.153	0.50
2143220.451	0.00
2143224.599	0.50
2143228.060	1.00
2143230.439	0.50
2143233.807	0.00
2143237.897	0.50
2143242.015	1.00
2143243.990	0.50
2143248.158	0.00
2143251.772	0.50
2143255.895	1.00
2143257.547	0.50
2143261.633	0.00
2143265.286	0.50
2143269.666	1.00
2143270.949	0.50
2143275.896	0.00
2143278.912	0.50
2143284.717	1.00
2143285.057	0.50
2143290.933	0.00
2143293.352	0.50
2143298.720	0.00
2143299.577	0.50
2143305.733	0.00
2143306.574	0.50
2143312.669	0.00
2143314.699	0.50
2143320.490	1.00
2143321.041	0.50
2143326.021	0.00
2223542.740	0.50
2223616.705	1.00
2223642.437	0.50
2223677.391	1.00
2223704.338	0.50
2223734.963	1.00
2223802.748	0.50
2223832.624	1.00
2223858.909	0.50
2223882.005	1.00
2223910.536	0.50
2223931.926	1.00
2223959.271	0.50
2223980.553	1.00
2224025.655	0.50
2224049.819	1.00
2224080.825	0.50
2224105.842	1.00
2224166.333	0.50
2224191.035	1.00
2224232.413	0.50
2224263.865	1.00
2224296.398	0.50
2224318.069	1.00
2224347.889	0.50
2224355.751	0.00
2224375.532	0.50
2224376.294	1.00
2224402.223	0.50
2224417.523	0.00
2224426.629	0.50
2224439.970	1.00
2224479.424	0.50
2224502.241	1.00
2224530.123	0.50
2224548.176	1.00
2224579.936	0.50
2224600.946	1.00
2224638.734	0.50
2224661.822	1.00
2224698.721	0.50
2224723.490	1.00
2224750.426	0.50
2224773.650	1.00
2224786.089	0.50
2224803.090	0.00
2224815.571	0.50
2224820.990	1.00
2224845.602	0.50
2224869.634	1.00
2224881.576	0.50
2224899.178	0.00
2224907.668	0.50
2224920.916	1.00
2224944.521	0.50
2224966.963	1.00
2224994.594	0.50
2225014.514	1.00
2225039.487	0.50
2225062.158	1.00
2225090.887	0.50
2225112.927	1.00
2225125.099	0.50
2225132.778	0.00
2225153.557	0.50
2225195.458	1.00
2225195.976	0.50
2225219.705	1.00
2225224.165	0.50
2225253.992	1.00
2225258.537	0.50
2225281.446	1.00
2225309.583	0.50
2225312.131	0.00
2225335.279	0.50
2225341.226	0.00
